 
 Stellar Parameters:
 ==================
 Teff =  2300.00  logg =  4.50  mixLengthPara =  2.00  OvershotPara =  2.20
  13 deep element abundances
           1 H    1.00000000000000     
           6 C   2.454708915685033E-004
           7 N   6.025595860743581E-005
           8 O   4.570881896148752E-004
          11 Na  1.479108388168207E-006
          12 Mg  3.388441561392028E-005
          13 Al  2.344228815319923E-006
          14 Si  3.235936569296281E-005
          16 S   1.380384264602884E-005
          19 K   1.202264434617413E-007
          20 Ca  2.041737944669527E-006
          22 Ti  7.943282347242822E-008
          26 Fe  2.818382931264455E-005
 
 Dust Parameters:
 ===============
 Nl =  1000  Vl =    3.136480E-20  Abschluss =  8
   1 nucleation species
 TiO2    
   7 dust species
 TiO2[s]   
 Mg2SiO4[s]
 SiO2[s]   
 Fe[s]     
 Al2O3[s]  
 MgO[s]    
 MgSiO3[s] 
   6 affected elements
          12 Mg
          14 Si
          22 Ti
           8 O 
          26 Fe
          13 Al
 
                   R                   T                 rho                   p                  L0                  L1                  L2                  L3     Vol%_TiO2[s]        Vol%_Mg2SiO4[s]     Vol%_SiO2[s]        Vol%_Fe[s]          Vol%_Al2O3[s]       Vol%_MgO[s]         Vol%_MgSiO3[s]               eps_Mg              eps_Si              eps_Ti              eps_O               eps_Fe              eps_Al
  2.058626455965E+10  1.030785259953E+03  1.069104922284E-12  3.935953428290E-02  5.325197364268E-05  1.680999182980E-11  5.306393870076E-18  1.675064872737E-24  9.971169496276E-01  9.162182646826E-04  5.821205338058E-04  1.431987483432E-04  2.194210878703E-05  4.116938402002E-04  8.078768765666E-04  3.388414168461E-05  3.235917593274E-05  9.451901010233E-12  4.569286826887E-04  2.818377630894E-05  2.344224326463E-06
  2.058619094765E+10  1.030802693845E+03  1.106743313875E-12  4.074303980286E-02  6.106501740904E-05  1.927830250664E-11  6.086187426157E-18  1.921418910575E-24  9.968098754835E-01  1.014039034902E-03  6.440425825787E-04  1.584380285962E-04  2.427803619856E-05  4.555057215790E-04  8.938211126153E-04  3.388411413088E-05  3.235915685762E-05  9.296191039941E-12  4.569286159967E-04  2.818377098501E-05  2.344223875389E-06
  2.058611733565E+10  1.030820127738E+03  1.145706784504E-12  4.217517617068E-02  6.979127517378E-05  2.203559472282E-11  6.957427511729E-18  2.196710646321E-24  9.964833661548E-01  1.118082530184E-03  7.098729733100E-04  1.746400837598E-04  2.676165726615E-05  5.020853774963E-04  9.851912231409E-04  3.388408490677E-05  3.235913662744E-05  9.143668843001E-12  4.569285452896E-04  2.818376533914E-05  2.344223397018E-06
  2.058604372365E+10  1.030837561630E+03  1.186041984263E-12  4.365765278278E-02  7.953744367732E-05  2.511572010900E-11  7.930854161413E-18  2.504347526884E-24  9.961360398272E-01  1.228791712869E-03  7.798893810419E-04  1.918733326906E-04  2.940347063190E-05  5.516294864831E-04  1.082372789062E-03  3.388405387850E-05  3.235911514967E-05  8.994264053985E-12  4.569284702452E-04  2.818375934556E-05  2.344222889163E-06
  2.058597011165E+10  1.030854995523E+03  1.227797205586E-12  4.519223912161E-02  9.042267707276E-05  2.855649963964E-11  9.018472117989E-18  2.848139945339E-24  9.957664150607E-01  1.346641497333E-03  8.543894932757E-04  2.102111259327E-04  3.221473184509E-05  6.043489025207E-04  1.185779188434E-03  3.388402090308E-05  3.235909232541E-05  8.847907967960E-12  4.569283905191E-04  2.818375297670E-05  2.344222349485E-06
  2.058589649965E+10  1.030872429415E+03  1.271022441065E-12  4.678076686777E-02  1.025800402116E-04  3.240018984216E-11  1.023370041197E-17  3.232349231459E-24  9.953729042263E-01  1.472140856920E-03  9.336923274926E-04  2.297320704818E-04  3.520750322166E-05  6.604695883490E-04  1.295853427281E-03  3.388398582755E-05  3.235906804885E-05  8.704533499624E-12  4.569283057426E-04  2.818374620305E-05  2.344221775485E-06
  2.058582288765E+10  1.030891653901E+03  1.315929495043E-12  4.843137318861E-02  1.161592458268E-04  3.669435627934E-11  1.159165109276E-17  3.661776594062E-24  9.949538038282E-01  1.605835964341E-03  1.018140162518E-03  2.505205068127E-04  3.839472721982E-05  7.202339863648E-04  1.413070824541E-03  3.388394855880E-05  3.235904225571E-05  8.564194004351E-12  4.569282156922E-04  2.818373900673E-05  2.344221165644E-06
  2.058574927565E+10  1.030915641435E+03  1.362864064098E-12  5.015741068129E-02  1.313420498206E-04  4.149674984213E-11  1.311067354548E-17  4.142252186418E-24  9.945072383306E-01  1.748328561221E-03  1.108109701251E-03  2.726692698199E-04  4.179065173467E-05  7.839089543276E-04  1.537954531024E-03  3.388390901551E-05  3.235901488986E-05  8.427017779134E-12  4.569281201723E-04  2.818373137216E-05  2.344220518636E-06
  2.058567566365E+10  1.030939628969E+03  1.411472623881E-12  5.194496213136E-02  1.483240595724E-04  4.686960595397E-11  1.481056019628E-17  4.680069234799E-24  9.940311533198E-01  1.900277331056E-03  1.204013726262E-03  2.962800732245E-04  4.541088564353E-05  8.517868719807E-04  1.671077792057E-03  3.388386679994E-05  3.235898567598E-05  8.292623444430E-12  4.569280182242E-04  2.818372322248E-05  2.344219827952E-06
  2.058560205165E+10  1.030963616503E+03  1.461814879743E-12  5.379621982430E-02  1.673185753695E-04  5.288074682860E-11  1.671289194401E-17  5.282096934089E-24  9.935233576601E-01  2.062384626198E-03  1.306292545121E-03  3.214614087869E-04  4.927207738943E-05  9.241796006247E-04  1.813052081773E-03  3.388382170612E-05  3.235895447160E-05  8.160950187265E-12  4.569279093517E-04  2.818371451801E-05  2.344219090223E-06
  2.058552843965E+10  1.030987604037E+03  1.513952666515E-12  5.571345417609E-02  1.885638807358E-04  5.960607004423E-11  1.884184007088E-17  5.956032641985E-24  9.929815124835E-01  2.235400225338E-03  1.415416123918E-03  3.483290786680E-04  5.339199765811E-05  1.001420012333E-03  1.964530078577E-03  3.388377351288E-05  3.235892112379E-05  8.031938621466E-12  4.569277930222E-04  2.818370521612E-05  2.344218301836E-06
  2.058545482765E+10  1.031011591572E+03  1.567950024459E-12  5.769901651769E-02  2.123264169917E-04  6.713051242981E-11  2.122447463525E-17  6.710502776545E-24  9.924031202108E-01  2.420124854735E-03  1.531886292068E-03  3.770067388521E-04  5.778962279965E-05  1.083863551461E-03  2.126208729276E-03  3.388372198281E-05  3.235888546837E-05  7.905530752730E-12  4.569276686641E-04  2.818369527105E-05  2.344217458910E-06
  2.058538121565E+10  1.031035579106E+03  1.623873277929E-12  5.975534197873E-02  2.389042385478E-04  7.554912948462E-11  2.389111182081E-17  7.555176218806E-24  9.917855125781E-01  2.617414029439E-03  1.656239146665E-03  4.076264917880E-04  6.248522580875E-05  1.171889937529E-03  2.298832590628E-03  3.388366686112E-05  3.235884732916E-05  7.781669944595E-12  4.569275356638E-04  2.818368463370E-05  2.344216557281E-06
  2.058530760365E+10  1.031059566640E+03  1.681791116831E-12  6.188495247401E-02  2.686306213948E-04  8.496830424430E-11  2.687570880765E-17  8.500891804283E-24  9.911258388068E-01  2.828181850201E-03  1.789047427330E-03  4.403294718285E-04  6.750046620969E-05  1.265904847293E-03  2.483197130337E-03  3.388360787419E-05  3.235880651692E-05  7.660300885263E-12  4.569273933625E-04  2.818367325135E-05  2.344215592477E-06
  2.058523399165E+10  1.031083554174E+03  1.741774681001E-12  6.409045979645E-02  3.018782446377E-04  9.550710125493E-11  3.021630401094E-17  9.559801710790E-24  9.904210526880E-01  3.053405148996E-03  1.930923108730E-03  4.752664843514E-04  7.285848818497E-05  1.366341751000E-03  2.680152330701E-03  3.388354472807E-05  3.235876282840E-05  7.541369555272E-12  4.569272410523E-04  2.818366106736E-05  2.344214559695E-06
  2.058516037965E+10  1.031107541708E+03  1.803897647583E-12  6.637456882020E-02  3.390638338515E-04  1.072987831714E-10  3.395551186866E-17  1.074553277404E-23  9.896678996481E-01  3.294127642092E-03  2.082519996568E-03  5.125986457960E-04  7.858401885246E-05  1.473663751117E-03  2.890606297508E-03  3.388347710691E-05  3.235871604520E-05  7.424823195983E-12  4.569270779727E-04  2.818364802087E-05  2.344213453771E-06
