    K,   J,  wlos(J),   WLSTEP(J),   Y
   49   487   1593.75      0.80      0.00
   49   488   1594.54      0.80      0.00
   49   489   1595.34      0.80      0.00
   49   490   1596.14      0.80      0.00
   49   491   1596.94      0.80      0.00
   49   492   1597.74      0.80      0.00
   49   493   1598.53      0.80      0.00
   49   494   1599.33      0.80      0.00
   49   495   1600.13      0.80      0.00
   49   496   1600.93      0.80      0.00
   49   497   1601.73      0.80      0.00
   49   498   1602.54      0.80      0.00
   49   499   1603.34      0.80      0.00
   49   500   1604.14      0.80      0.00
   49   501   1604.94      0.80      0.00
   49   502   1605.74      0.80      0.00
   49   503   1606.55      0.80      0.00
   49   504   1607.35      0.80      0.00
   49   505   1608.15      0.80      0.00
   49   506   1608.96      0.80      0.00
   49   507   1609.76      0.80      0.00
   49   508   1610.57      0.81      0.00
   49   509   1611.37      0.81      0.00
   49   510   1612.18      0.81      0.00
   49   511   1612.99      0.81      0.00
   49   512   1613.79      0.81      0.00
   49   513   1614.60      0.81      0.00
   49   514   1615.41      0.81      0.00
   49   515   1616.21      0.81      0.00
   49   516   1617.02      0.81      0.00
   49   517   1617.83      0.81      0.00
   49   518   1618.64      0.81      0.00
   49   519   1619.45      0.81      0.00
   49   520   1620.26      0.81      0.00
   49   521   1621.07      0.81      0.00
   49   522   1621.88      0.81      0.00
   49   523   1622.69      0.81      0.00
   49   524   1623.50      0.81      0.00
   49   525   1624.32      0.81      0.00
   49   526   1625.13      0.81      0.00
   49   527   1625.94      0.81      0.00
   49   528   1626.75      0.81      0.00
   49   529   1627.57      0.81      0.00
   49   530   1628.38      0.81      0.00
   49   531   1629.20      0.81      0.00
   49   532   1630.01      0.81      0.00
   49   533   1630.83      0.82      0.00
   49   534   1631.64      0.82      0.00
   49   535   1632.46      0.82      0.00
   49   536   1633.27      0.82      0.00
   49   537   1634.09      0.82      0.00
   49   538   1634.91      0.82      0.00
   49   539   1635.73      0.82      0.00
   49   540   1636.54      0.82      0.00
   49   541   1637.36      0.82      0.00
   49   542   1638.18      0.82      0.00
   49   543   1639.00      0.82      0.00
   49   544   1639.82      0.82      0.00
   49   545   1640.64      0.82      0.00
   49   546   1641.46      0.82      0.00
   49   547   1642.28      0.82      0.00
   49   548   1643.10      0.82      0.00
   49   549   1643.92      0.82      0.00
   49   550   1644.75      0.82      0.00
   49   551   1645.57      0.82      0.00
   49   552   1646.39      0.82      0.00
   49   553   1647.22      0.82      0.00
   49   554   1648.04      0.82      0.00
   49   555   1648.86      0.82      0.00
   49   556   1649.69      0.82      0.00
   49   557   1650.51      0.83      0.00
   49   558   1651.34      0.83      0.00
   49   559   1652.16      0.83      0.00
   49   560   1652.99      0.83      0.00
   49   561   1653.82      0.83      0.00
   49   562   1654.64      0.83      0.00
   49   563   1655.47      0.83      0.00
   49   564   1656.30      0.83      0.00
   49   565   1657.13      0.83      0.00
   49   566   1657.96      0.83      0.00
   49   567   1658.79      0.83      0.00
   49   568   1659.62      0.83      0.00
   49   569   1660.45      0.83      0.00
   49   570   1661.28      0.83      0.00
   49   571   1662.11      0.83      0.00
   49   572   1662.94      0.83      0.00
   49   573   1663.77      0.83      0.00
   49   574   1664.60      0.83      0.00
   49   575   1665.43      0.83      0.00
   49   576   1666.27      0.83      0.00
   49   577   1667.10      0.83      0.00
   49   578   1667.93      0.83      0.00
   49   579   1668.77      0.83      0.00
   49   580   1669.60      0.83      0.00
   49   581   1670.44      0.84      0.00
   49   582   1671.27      0.84      0.00
   49   583   1672.11      0.84      0.00
   49   584   1672.95      0.84      0.00
   49   585   1673.78      0.84      0.00
   49   586   1674.62      0.84      0.00
   49   587   1675.46      0.84      0.00
   49   588   1676.30      0.84      0.00
   49   589   1677.13      0.84      0.00
   49   590   1677.97      0.84      0.00
   49   591   1678.81      0.84      0.00
   49   592   1679.65      0.84      0.00
   49   593   1680.49      0.84      0.00
   49   594   1681.33      0.84      0.00
   49   595   1682.17      0.84      0.00
   49   596   1683.01      0.84      0.00
   49   597   1683.86      0.84      0.00
   49   598   1684.70      0.84      0.00
   49   599   1685.54      0.84      0.00
   49   600   1686.38      0.84      0.00
   49   601   1687.23      0.84      0.00
   49   602   1688.07      0.84      0.00
   49   603   1688.91      0.84      0.00
   49   604   1689.76      0.84      0.00
   49   605   1690.60      0.85      0.00
   49   606   1691.45      0.85      0.00
   49   607   1692.30      0.85      0.00
   49   608   1693.14      0.85      0.00
   49   609   1693.99      0.85      0.00
   49   610   1694.84      0.85      0.00
   49   611   1695.68      0.85      0.00
   49   612   1696.53      0.85      0.00
   49   613   1697.38      0.85      0.00
   49   614   1698.23      0.85      0.00
   49   615   1699.08      0.85      0.00
   49   616   1699.93      0.85      0.00
   49   617   1700.78      0.85      0.00
   49   618   1701.63      0.85      0.00
   49   619   1702.48      0.85      0.00
   49   620   1703.33      0.85      0.00
   49   621   1704.18      0.85      0.00
   49   622   1705.03      0.85      0.00
   49   623   1705.89      0.85      0.00
   49   624   1706.74      0.85      0.00
   49   625   1707.59      0.85      0.00
   49   626   1708.45      0.85      0.00
   49   627   1709.30      0.85      0.00
   49   628   1710.16      0.86      0.00
   49   629   1711.01      0.86      0.00
   49   630   1711.87      0.86      0.00
   49   631   1712.72      0.86      0.00
   49   632   1713.58      0.86      0.00
   49   633   1714.44      0.86      0.00
   49   634   1715.30      0.86      0.00
   49   635   1716.15      0.86      0.00
   49   636   1717.01      0.86      0.00
   49   637   1717.87      0.86      0.00
   49   638   1718.73      0.86      0.00
   49   639   1719.59      0.86      0.00
   49   640   1720.45      0.86      0.00
   49   641   1721.31      0.86      0.00
   49   642   1722.17      0.86      0.00
   49   643   1723.03      0.86      0.00
   49   644   1723.89      0.86      0.00
   49   645   1724.76      0.86      0.00
   49   646   1725.62      0.86      0.00
   49   647   1726.48      0.86      0.00
   49   648   1727.34      0.86      0.00
   49   649   1728.21      0.86      0.00
   49   650   1729.07      0.86      0.00
   49   651   1729.94      0.86      0.00
   49   652   1730.80      0.87      0.00
   49   653   1731.67      0.87      0.00
   49   654   1732.53      0.87      0.00
   49   655   1733.40      0.87      0.00
   49   656   1734.27      0.87      0.00
   49   657   1735.13      0.87      0.00
   49   658   1736.00      0.87      0.00
   49   659   1736.87      0.87      0.00
   49   660   1737.74      0.87      0.00
   49   661   1738.61      0.87      0.00
   49   662   1739.48      0.87      0.00
   49   663   1740.35      0.87      0.00
   49   664   1741.22      0.87      0.00
   49   665   1742.09      0.87      0.00
   49   666   1742.96      0.87      0.00
   49   667   1743.83      0.87      0.00
   49   668   1744.70      0.87      0.00
   49   669   1745.58      0.87      0.00
   49   670   1746.45      0.87      0.00
   49   671   1747.32      0.87      0.00
   49   672   1748.20      0.87      0.00
   49   673   1749.07      0.87      0.00
   49   674   1749.95      0.87      0.00
   49   675   1750.82      0.88      0.00
   49   676   1751.70      0.88      0.00
   49   677   1752.57      0.88      0.00
   49   678   1753.45      0.88      0.00
   49   679   1754.33      0.88      0.00
   49   680   1755.20      0.88      0.00
   49   681   1756.08      0.88      0.00
   49   682   1756.96      0.88      0.00
   49   683   1757.84      0.88      0.00
   49   684   1758.72      0.88      0.00
   49   685   1759.60      0.88      0.00
   49   686   1760.48      0.88      0.00
   49   687   1761.36      0.88      0.00
   49   688   1762.24      0.88      0.00
   49   689   1763.12      0.88      0.00
   49   690   1764.00      0.88      0.00
   49   691   1764.88      0.88      0.00
   49   692   1765.77      0.88      0.00
   49   693   1766.65      0.88      0.00
   49   694   1767.53      0.88      0.00
   49   695   1768.42      0.88      0.00
   49   696   1769.30      0.88      0.00
   49   697   1770.19      0.89      0.00
   49   698   1771.07      0.89      0.00
   49   699   1771.96      0.89      0.00
   49   700   1772.84      0.89      0.00
   49   701   1773.73      0.89      0.00
   49   702   1774.62      0.89      0.00
   49   703   1775.50      0.89      0.00
   49   704   1776.39      0.89      0.00
   49   705   1777.28      0.89      0.00
   49   706   1778.17      0.89      0.00
   49   707   1779.06      0.89      0.00
   49   708   1779.95      0.89      0.00
   49   709   1780.84      0.89      0.00
   49   710   1781.73      0.89      0.00
   49   711   1782.62      0.89      0.00
   49   712   1783.51      0.89      0.00
   49   713   1784.40      0.89      0.00
   49   714   1785.30      0.89      0.00
   49   715   1786.19      0.89      0.00
   49   716   1787.08      0.89      0.00
   49   717   1787.98      0.89      0.00
   49   718   1788.87      0.89      0.00
   49   719   1789.77      0.89      0.00
   49   720   1790.66      0.90      0.00
   49   721   1791.56      0.90      0.00
   49   722   1792.45      0.90      0.00
   49   723   1793.35      0.90      0.00
   49   724   1794.25      0.90      0.00
   49   725   1795.14      0.90      0.00
   49   726   1796.04      0.90      0.00
   49   727   1796.94      0.90      0.00
   49   728   1797.84      0.90      0.00
   49   729   1798.74      0.90      0.00
   49   730   1799.64      0.90      0.00
   49   731   1800.54      0.90      0.00
   49   732   1801.44      0.90      0.00
   49   733   1802.34      0.90      0.00
   49   734   1803.24      0.90      0.00
   49   735   1804.14      0.90      0.00
   49   736   1805.04      0.90      0.00
   49   737   1805.95      0.90      0.00
   49   738   1806.85      0.90      0.00
   49   739   1807.75      0.90      0.00
   49   740   1808.66      0.90      0.00
   49   741   1809.56      0.90      0.00
   49   742   1810.47      0.91      0.00
   49   743   1811.37      0.91      0.00
   49   744   1812.28      0.91      0.00
   49   745   1813.18      0.91      0.00
   49   746   1814.09      0.91      0.00
   49   747   1815.00      0.91      0.00
   49   748   1815.91      0.91      0.00
   49   749   1816.81      0.91      0.00
   49   750   1817.72      0.91      0.00
   49   751   1818.63      0.91      0.00
   49   752   1819.54      0.91      0.00
   49   753   1820.45      0.91      0.00
   49   754   1821.36      0.91      0.00
   49   755   1822.27      0.91      0.00
   49   756   1823.18      0.91      0.00
   49   757   1824.09      0.91      0.00
   49   758   1825.01      0.91      0.00
   49   759   1825.92      0.91      0.00
   49   760   1826.83      0.91      0.00
   49   761   1827.75      0.91      0.00
   49   762   1828.66      0.91      0.00
   49   763   1829.58      0.91      0.00
   49   764   1830.49      0.92      0.00
   49   765   1831.41      0.92      0.00
   49   766   1832.32      0.92      0.00
   49   767   1833.24      0.92      0.00
   49   768   1834.15      0.92      0.00
   49   769   1835.07      0.92      0.00
   49   770   1835.99      0.92      0.00
   49   771   1836.91      0.92      0.00
