 Teff =  2300.00  logg =  4.50  mixLengthPara =  2.00  Abschluss =  8  beta =  2.20  pconv[bar] =  0.29
           6           7
 
           p         pel           T          a1          a2          N1          N2
  9.2345E-07  3.8477E-17  1.0332E+03  3.6112E-07  2.4056E-07  1.7241E-11  1.1195E-11
  9.6216E-07  3.9147E-17  1.0330E+03  3.7149E-07  2.4348E-07  2.0105E-11  1.3018E-11
  1.0025E-06  3.9828E-17  1.0329E+03  3.8242E-07  2.4658E-07  2.3438E-11  1.5134E-11
  1.0445E-06  4.0522E-17  1.0328E+03  3.9393E-07  2.4984E-07  2.7313E-11  1.7588E-11
  1.0883E-06  4.1227E-17  1.0326E+03  4.0604E-07  2.5329E-07  3.1813E-11  2.0434E-11
  1.1354E-06  4.2010E-17  1.0326E+03  4.1878E-07  2.5691E-07  3.7088E-11  2.3763E-11
  1.1857E-06  4.2867E-17  1.0325E+03  4.3220E-07  2.6070E-07  4.3306E-11  2.7666E-11
  1.2383E-06  4.3741E-17  1.0324E+03  4.4634E-07  2.6469E-07  5.0590E-11  3.2211E-11
  1.2933E-06  4.4633E-17  1.0324E+03  4.6122E-07  2.6890E-07  5.9116E-11  3.7499E-11
  1.3506E-06  4.5543E-17  1.0323E+03  4.7687E-07  2.7336E-07  6.9085E-11  4.3652E-11
  1.4106E-06  4.6471E-17  1.0323E+03  4.9330E-07  2.7805E-07  8.0728E-11  5.0814E-11
  1.4731E-06  4.7418E-17  1.0322E+03  5.1053E-07  2.8298E-07  9.4316E-11  5.9149E-11
  1.5385E-06  4.8385E-17  1.0321E+03  5.2859E-07  2.8817E-07  1.1017E-10  6.8846E-11
  1.6067E-06  4.9372E-17  1.0321E+03  5.4750E-07  2.9360E-07  1.2865E-10  8.0125E-11
  1.6778E-06  5.0439E-17  1.0321E+03  5.6727E-07  2.9929E-07  1.5015E-10  9.3218E-11
  1.7512E-06  5.1700E-17  1.0322E+03  5.8793E-07  3.0524E-07  1.7507E-10  1.0835E-10
