#           wl        cont         all         h2o      planck
    15.5050048  1.1322E+05  8.6465E+04  8.6539E+04  1.1217E+05
    15.4817653  1.1388E+05  8.7454E+04  8.7472E+04  1.1281E+05
    15.4585606  1.1454E+05  8.4570E+04  8.4587E+04  1.1346E+05
    15.4353908  1.1520E+05  8.6043E+04  8.6121E+04  1.1412E+05
    15.4122556  1.1586E+05  8.7730E+04  8.7848E+04  1.1478E+05
    15.3891551  1.1653E+05  8.4794E+04  8.4813E+04  1.1544E+05
    15.3660893  1.1721E+05  8.8315E+04  8.8397E+04  1.1610E+05
    15.3430580  1.1789E+05  8.5731E+04  8.5742E+04  1.1677E+05
    15.3200612  1.1857E+05  8.7178E+04  8.7216E+04  1.1744E+05
    15.2970989  1.1925E+05  8.8413E+04  8.8616E+04  1.1812E+05
    15.2741711  1.1994E+05  9.2911E+04  9.4340E+04  1.1880E+05
    15.2512776  1.2064E+05  9.0408E+04  9.1222E+04  1.1948E+05
    15.2284184  1.2134E+05  9.1880E+04  9.2339E+04  1.2017E+05
    15.2055934  1.2204E+05  9.5834E+04  9.5878E+04  1.2086E+05
    15.1828027  1.2274E+05  8.9707E+04  8.9739E+04  1.2156E+05
    15.1600461  1.2345E+05  9.5935E+04  9.5975E+04  1.2226E+05
    15.1373237  1.2416E+05  9.1887E+04  9.1913E+04  1.2296E+05
    15.1146353  1.2488E+05  9.4064E+04  9.4095E+04  1.2367E+05
    15.0919809  1.2560E+05  9.5892E+04  9.5935E+04  1.2438E+05
    15.0693605  1.2633E+05  9.8123E+04  9.8351E+04  1.2510E+05
    15.0467739  1.2706E+05  9.0245E+04  9.0276E+04  1.2582E+05
    15.0242213  1.2780E+05  9.9538E+04  9.9567E+04  1.2654E+05
    15.0017024  1.2853E+05  9.8419E+04  9.8445E+04  1.2727E+05
    14.9792172  1.2928E+05  9.4772E+04  9.4797E+04  1.2800E+05
    14.9567658  1.3002E+05  9.9488E+04  9.9563E+04  1.2874E+05
    14.9343481  1.3078E+05  1.0172E+05  1.0180E+05  1.2948E+05
    14.9119639  1.3153E+05  9.6856E+04  9.6914E+04  1.3023E+05
    14.8896133  1.3229E+05  9.8648E+04  9.8861E+04  1.3098E+05
    14.8672961  1.3305E+05  1.0280E+05  1.0288E+05  1.3173E+05
    14.8450125  1.3382E+05  1.0093E+05  1.0097E+05  1.3249E+05
    14.8227622  1.3460E+05  1.0454E+05  1.0458E+05  1.3325E+05
    14.8005453  1.3537E+05  1.0503E+05  1.0507E+05  1.3402E+05
    14.7783617  1.3615E+05  1.0249E+05  1.0251E+05  1.3479E+05
    14.7562113  1.3694E+05  1.0426E+05  1.0429E+05  1.3556E+05
    14.7340941  1.3773E+05  1.0401E+05  1.0421E+05  1.3634E+05
    14.7120101  1.3853E+05  1.0483E+05  1.0488E+05  1.3712E+05
    14.6899592  1.3933E+05  1.0106E+05  1.0114E+05  1.3791E+05
    14.6679413  1.4013E+05  9.9569E+04  1.0033E+05  1.3871E+05
    14.6459564  1.4094E+05  1.0069E+05  1.0263E+05  1.3950E+05
