#           wl        cont         all         h2o      planck
    18.5906418  5.7059E+04  4.4385E+04  4.4393E+04  5.5805E+04
    18.5627774  5.7391E+04  4.2042E+04  4.2043E+04  5.6129E+04
    18.5349548  5.7726E+04  4.3997E+04  4.4001E+04  5.6455E+04
    18.5071739  5.8062E+04  4.3777E+04  4.4544E+04  5.6783E+04
    18.4794346  5.8401E+04  4.4805E+04  4.4806E+04  5.7113E+04
    18.4517370  5.8741E+04  4.3536E+04  4.4092E+04  5.7444E+04
    18.4240808  5.9083E+04  4.6353E+04  4.6355E+04  5.7778E+04
    18.3964661  5.9428E+04  4.5647E+04  4.5648E+04  5.8113E+04
    18.3688928  5.9774E+04  4.3576E+04  4.3579E+04  5.8451E+04
    18.3413608  6.0122E+04  4.7432E+04  4.7434E+04  5.8790E+04
    18.3138701  6.0473E+04  4.7336E+04  4.7641E+04  5.9131E+04
    18.2864205  6.0825E+04  4.8263E+04  4.8652E+04  5.9474E+04
    18.2590122  6.1179E+04  4.6736E+04  4.6738E+04  5.9820E+04
    18.2316448  6.1536E+04  4.6483E+04  4.6510E+04  6.0167E+04
    18.2043186  6.1894E+04  4.8577E+04  4.8581E+04  6.0516E+04
    18.1770332  6.2254E+04  4.6401E+04  4.6410E+04  6.0867E+04
    18.1497888  6.2617E+04  4.6312E+04  4.6376E+04  6.1220E+04
    18.1225852  6.2982E+04  4.7846E+04  4.8080E+04  6.1575E+04
    18.0954224  6.3349E+04  4.9147E+04  4.9149E+04  6.1933E+04
    18.0683003  6.3718E+04  4.7178E+04  4.7180E+04  6.2292E+04
    18.0412188  6.4089E+04  5.2388E+04  5.2390E+04  6.2653E+04
    18.0141779  6.4462E+04  5.0081E+04  5.0084E+04  6.3017E+04
    17.9871776  6.4837E+04  4.8490E+04  4.8491E+04  6.3382E+04
    17.9602177  6.5215E+04  4.9630E+04  4.9633E+04  6.3750E+04
    17.9332983  6.5594E+04  4.8853E+04  4.8855E+04  6.4120E+04
    17.9064192  6.5976E+04  5.1720E+04  5.1857E+04  6.4491E+04
    17.8795803  6.6360E+04  5.3400E+04  5.3420E+04  6.4866E+04
    17.8527818  6.6746E+04  5.1414E+04  5.1426E+04  6.5242E+04
    17.8260233  6.7135E+04  5.3019E+04  5.3043E+04  6.5620E+04
    17.7993050  6.7526E+04  5.3366E+04  5.3996E+04  6.6000E+04
    17.7726267  6.7919E+04  5.2016E+04  5.2899E+04  6.6383E+04
    17.7459884  6.8314E+04  5.3712E+04  5.4028E+04  6.6768E+04
    17.7193901  6.8712E+04  5.3021E+04  5.3023E+04  6.7155E+04
    17.6928316  6.9112E+04  5.2280E+04  5.2283E+04  6.7544E+04
    17.6663129  6.9514E+04  5.2908E+04  5.2911E+04  6.7936E+04
    17.6398339  6.9918E+04  5.6812E+04  5.6892E+04  6.8329E+04
    17.6133947  7.0325E+04  5.2740E+04  5.2743E+04  6.8725E+04
    17.5869951  7.0734E+04  5.6176E+04  5.6183E+04  6.9124E+04
    17.5606350  7.1146E+04  5.5069E+04  5.5216E+04  6.9524E+04
    17.5343144  7.1560E+04  5.3083E+04  5.3333E+04  6.9927E+04
    17.5080333  7.1976E+04  5.8426E+04  5.9039E+04  7.0332E+04
    17.4817916  7.2394E+04  5.6863E+04  5.6866E+04  7.0740E+04
    17.4555893  7.2816E+04  5.7790E+04  5.7794E+04  7.1150E+04
    17.4294262  7.3239E+04  5.5571E+04  5.5586E+04  7.1562E+04
    17.4033023  7.3665E+04  5.5541E+04  5.6422E+04  7.1976E+04
    17.3772175  7.4093E+04  5.4547E+04  5.4553E+04  7.2393E+04
    17.3511719  7.4524E+04  5.6742E+04  5.7239E+04  7.2812E+04
    17.3251653  7.4958E+04  5.9558E+04  5.9654E+04  7.3234E+04
    17.2991977  7.5393E+04  5.8341E+04  5.8350E+04  7.3658E+04
    17.2732690  7.5832E+04  5.9360E+04  5.9377E+04  7.4085E+04
    17.2473792  7.6273E+04  5.6577E+04  5.6580E+04  7.4514E+04
    17.2215281  7.6716E+04  5.7955E+04  5.7960E+04  7.4945E+04
    17.1957158  7.7162E+04  5.9334E+04  5.9339E+04  7.5379E+04
    17.1699422  7.7610E+04  5.7645E+04  5.7648E+04  7.5816E+04
    17.1442073  7.8062E+04  6.0101E+04  6.0104E+04  7.6255E+04
    17.1185109  7.8515E+04  5.8512E+04  5.8514E+04  7.6696E+04
    17.0928530  7.8972E+04  5.8015E+04  5.8018E+04  7.7140E+04
    17.0672336  7.9431E+04  6.0624E+04  6.0629E+04  7.7586E+04
    17.0416526  7.9892E+04  6.2779E+04  6.2783E+04  7.8036E+04
    17.0161099  8.0357E+04  6.3004E+04  6.3010E+04  7.8487E+04
    16.9906055  8.0823E+04  6.3665E+04  6.3955E+04  7.8941E+04
    16.9651393  8.1293E+04  6.1905E+04  6.1914E+04  7.9398E+04
    16.9397113  8.1765E+04  6.4649E+04  6.4657E+04  7.9858E+04
    16.9143215  8.2240E+04  6.6226E+04  6.6234E+04  8.0320E+04
    16.8889696  8.2718E+04  6.1188E+04  6.1192E+04  8.0784E+04
    16.8636558  8.3199E+04  6.1112E+04  6.1702E+04  8.1252E+04
    16.8383799  8.3682E+04  6.1631E+04  6.2476E+04  8.1722E+04
    16.8131419  8.4168E+04  6.5377E+04  6.5752E+04  8.2194E+04
    16.7879417  8.4657E+04  6.3434E+04  6.3439E+04  8.2670E+04
    16.7627793  8.5149E+04  6.5636E+04  6.5645E+04  8.3148E+04
    16.7376546  8.5643E+04  6.5564E+04  6.5750E+04  8.3629E+04
    16.7125676  8.6140E+04  6.3747E+04  6.4074E+04  8.4113E+04
    16.6875182  8.6641E+04  6.4118E+04  6.4839E+04  8.4599E+04
    16.6625063  8.7144E+04  7.0379E+04  7.0937E+04  8.5088E+04
    16.6375319  8.7650E+04  6.6326E+04  6.6909E+04  8.5580E+04
    16.6125949  8.8158E+04  6.7982E+04  6.8997E+04  8.6075E+04
    16.5876953  8.8670E+04  6.5761E+04  6.5790E+04  8.6572E+04
    16.5628330  8.9185E+04  6.4922E+04  6.4927E+04  8.7073E+04
    16.5380080  8.9703E+04  7.0613E+04  7.0623E+04  8.7576E+04
    16.5132202  9.0223E+04  7.1136E+04  7.1148E+04  8.8082E+04
    16.4884696  9.0747E+04  6.9232E+04  6.9249E+04  8.8592E+04
    16.4637560  9.1274E+04  6.6492E+04  6.6497E+04  8.9104E+04
    16.4390795  9.1804E+04  7.2777E+04  7.2786E+04  8.9618E+04
    16.4144400  9.2336E+04  7.5826E+04  7.5837E+04  9.0136E+04
    16.3898374  9.2872E+04  7.2855E+04  7.2866E+04  9.0657E+04
    16.3652717  9.3411E+04  7.0322E+04  7.0329E+04  9.1181E+04
    16.3407428  9.3953E+04  7.3018E+04  7.3027E+04  9.1708E+04
    16.3162507  9.4498E+04  7.2201E+04  7.2210E+04  9.2238E+04
    16.2917953  9.5046E+04  7.2424E+04  7.2432E+04  9.2770E+04
    16.2673765  9.5598E+04  7.4032E+04  7.4041E+04  9.3306E+04
    16.2429943  9.6152E+04  7.6661E+04  7.6677E+04  9.3845E+04
    16.2186487  9.6710E+04  7.5577E+04  7.5589E+04  9.4387E+04
    16.1943396  9.7271E+04  7.2164E+04  7.2171E+04  9.4932E+04
    16.1700669  9.7835E+04  7.6985E+04  7.7062E+04  9.5480E+04
    16.1458306  9.8403E+04  7.4198E+04  7.4241E+04  9.6032E+04
    16.1216306  9.8973E+04  7.9153E+04  7.9232E+04  9.6586E+04
    16.0974669  9.9547E+04  7.6756E+04  7.6769E+04  9.7144E+04
    16.0733394  1.0012E+05  7.6384E+04  7.6393E+04  9.7705E+04
    16.0492481  1.0070E+05  7.8081E+04  7.8629E+04  9.8269E+04
    16.0251928  1.0129E+05  7.6536E+04  7.7130E+04  9.8836E+04
    16.0011737  1.0188E+05  7.8580E+04  7.9695E+04  9.9406E+04
    15.9771905  1.0247E+05  8.1343E+04  8.1701E+04  9.9980E+04
    15.9532433  1.0306E+05  8.0630E+04  8.1398E+04  1.0056E+05
    15.9293319  1.0366E+05  7.6772E+04  7.7558E+04  1.0114E+05
    15.9054565  1.0426E+05  7.9960E+04  8.0430E+04  1.0172E+05
    15.8816167  1.0486E+05  7.9017E+04  7.9095E+04  1.0231E+05
    15.8578128  1.0547E+05  8.0726E+04  8.0742E+04  1.0290E+05
    15.8340445  1.0608E+05  7.9683E+04  7.9695E+04  1.0349E+05
    15.8103118  1.0670E+05  8.1251E+04  8.1265E+04  1.0409E+05
    15.7866147  1.0731E+05  8.6625E+04  8.6646E+04  1.0469E+05
    15.7629531  1.0794E+05  8.2946E+04  8.2955E+04  1.0529E+05
    15.7393270  1.0856E+05  8.6578E+04  8.6600E+04  1.0590E+05
    15.7157363  1.0919E+05  8.4885E+04  8.4901E+04  1.0651E+05
    15.6921810  1.0982E+05  8.4721E+04  8.4738E+04  1.0713E+05
    15.6686609  1.1046E+05  8.3477E+04  8.3491E+04  1.0774E+05
    15.6451762  1.1110E+05  8.5716E+04  8.5730E+04  1.0836E+05
    15.6217266  1.1174E+05  8.2587E+04  8.2603E+04  1.0899E+05
    15.5983121  1.1239E+05  8.6959E+04  8.6982E+04  1.0962E+05
