#           wl        cont         all         h2o      planck
    16.2673765  9.1562E+04  6.8234E+04  6.8242E+04  9.3306E+04
    16.2429943  9.2093E+04  7.4379E+04  7.4400E+04  9.3845E+04
    16.2186487  9.2626E+04  6.8714E+04  6.8722E+04  9.4387E+04
    16.1943396  9.3163E+04  7.4337E+04  7.4352E+04  9.4932E+04
    16.1700669  9.3702E+04  7.3123E+04  7.3214E+04  9.5480E+04
    16.1458306  9.4245E+04  7.2207E+04  7.2226E+04  9.6032E+04
    16.1216306  9.4790E+04  7.4459E+04  7.4476E+04  9.6586E+04
    16.0974669  9.5339E+04  7.3108E+04  7.3120E+04  9.7144E+04
    16.0733394  9.5891E+04  7.3624E+04  7.3640E+04  9.7705E+04
    16.0492481  9.6446E+04  7.7249E+04  7.8120E+04  9.8269E+04
    16.0251928  9.7005E+04  7.5533E+04  7.6193E+04  9.8836E+04
    16.0011737  9.7566E+04  7.4815E+04  7.5176E+04  9.9406E+04
    15.9771905  9.8131E+04  7.6687E+04  7.6922E+04  9.9980E+04
    15.9532433  9.8699E+04  7.7628E+04  7.8293E+04  1.0056E+05
    15.9293319  9.9270E+04  7.7277E+04  7.8345E+04  1.0114E+05
    15.9054565  9.9845E+04  7.8646E+04  7.9522E+04  1.0172E+05
    15.8816167  1.0042E+05  8.0112E+04  8.0181E+04  1.0231E+05
    15.8578128  1.0100E+05  7.6914E+04  7.6930E+04  1.0290E+05
    15.8340445  1.0159E+05  8.0324E+04  8.0349E+04  1.0349E+05
    15.8103118  1.0218E+05  8.1634E+04  8.1657E+04  1.0409E+05
    15.7866147  1.0277E+05  8.2727E+04  8.2754E+04  1.0469E+05
    15.7629531  1.0336E+05  8.3002E+04  8.3023E+04  1.0529E+05
    15.7393270  1.0396E+05  8.2394E+04  8.2418E+04  1.0590E+05
    15.7157363  1.0456E+05  8.3706E+04  8.3731E+04  1.0651E+05
    15.6921810  1.0517E+05  8.0734E+04  8.0753E+04  1.0713E+05
    15.6686609  1.0577E+05  8.8014E+04  8.8053E+04  1.0774E+05
    15.6451762  1.0639E+05  8.1595E+04  8.1610E+04  1.0836E+05
    15.6217266  1.0700E+05  8.4578E+04  8.4608E+04  1.0899E+05
    15.5983121  1.0762E+05  8.7625E+04  8.7691E+04  1.0962E+05
    15.5749328  1.0824E+05  8.4886E+04  8.5083E+04  1.1025E+05
